CAD_U|CAFKU|MIR1|AIQ|20140224063828|FKU-2|||//2/25/2014 12:18:35 AM
CAD_U|CAFKU|MIR2|AIQ|20140224063830|FKU-2|||//2/25/2014 12:18:36 AM
CAD_U|CAFKU|MIR2|AIQ|20140224063830|FKU-2|||//2/25/2014 12:18:36 AM
CAD_U|CAFKU|MIR2|AIQ|20140224063830|FKU-2|||//2/25/2014 12:18:36 AM
CAD_U|CAFKU|MIR3|AIQ|20140217075558|FKU-1A|||//2/25/2014 12:18:38 AM
CAD_U|CAFKU|MIR3|AIQ|20140217075558|FKU-1A|||//2/25/2014 12:18:38 AM
CAD_U|CAFKU|MIR3|AIQ|20140217075558|FKU-1A|||//2/25/2014 12:18:38 AM
CAD_U|CAFKU|MIR4|AIQ|20140224063831|FKU-2|||//2/25/2014 12:18:39 AM
CAD_U|CAFKU|MIR4|AIQ|20140224063831|FKU-2|||//2/25/2014 12:18:39 AM
CAD_U|CAFKU|MIR4|AIQ|20140224063831|FKU-2|||//2/25/2014 12:18:39 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:29:46 AM
CAD_U|CASLC|R30|AIQ|20140225002945|R-17A|||//2/25/2014 12:29:46 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:40:35 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:40:35 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:40:35 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:40:54 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:40:55 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:42:05 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:42:05 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 12:42:05 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:43:10 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:43:10 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:43:10 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:47:45 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:47:45 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:47:45 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:01:02 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:01:02 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:01:02 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 1:08:05 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 1:08:05 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 1:08:05 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 1:08:06 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 1:08:06 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 1:08:06 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//2/25/2014 1:08:07 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//2/25/2014 1:08:07 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//2/25/2014 1:08:07 AM
CAD_U|CABEU|E4661|AIQ|20140221184903|BEU-30|||//2/25/2014 1:08:08 AM
CAD_U|CABEU|E4661|AIQ|20140221184903|BEU-30|||//2/25/2014 1:08:08 AM
